CellNum	Stage	Mother/daughter	mtDNA rep observed	LifFile	BioRep	TechRep	EdU	CellPart	Fluor		Label	Area	Mean	StdDev	Min	Max	X	Y	XM	YM	IntDen	Median	RawIntDen
				Slide2_020818_60	1	1	1	cytoplasm	EdU	7	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	0.219	40.721	12.148	16	84	5.258	3.125	5.251	3.126	8.901	39	22804
7	A	D		Slide2_020818_61	1	1	1	cell	DAPI	8	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	5.752	30.372	28.469	7	255	2.037	5.736	2.346	5.792	174.703	24	447599
				Slide2_020818_62	1	1	1	cell	EdU	9	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	5.752	39.74	12.544	9	115	2.037	5.736	2.062	5.751	228.586	38	585652
				Slide2_020818_63	1	1	1	nuclei	DAPI	10	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	0.179	161.926	45.409	52	255	3.276	5.487	3.296	5.479	28.946	163	74162
				Slide2_020818_64	1	1	1	nuclei	EdU	11	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	0.179	38.998	11.853	12	80	3.276	5.487	3.264	5.501	6.971	39	17861
				Slide2_020818_65	1	1	1	cytoplasm	DAPI	12	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	0.173	22.833	9.689	8	60	2.404	4.989	2.405	4.994	3.957	21	10138
				Slide2_020818_66	1	1	1	cytoplasm	EdU	13	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	0.173	40.624	12.471	18	92	2.404	4.989	2.401	4.988	7.04	39	18037
8	G1	M	1	Slide2_020818_67	1	1	1	cell	DAPI	14	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	7.392	79.248	70.723	8	255	8.212	10.275	8.343	10.676	585.809	49	1500879
				Slide2_020818_68	1	1	1	cell	EdU	15	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	7.392	55.684	18.747	10	158	8.212	10.275	8.252	10.317	411.621	53	1054599
				Slide2_020818_69	1	1	1	nuclei	DAPI	16	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	0.552	231.41	35.644	76	255	8.6	11.293	8.59	11.286	127.805	255	327445
				Slide2_020818_70	1	1	1	nuclei	EdU	17	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	0.552	62.926	19.575	16	144	8.6	11.293	8.606	11.268	34.753	61	89040
				Slide2_020818_71	1	1	1	cytoplasm	DAPI	18	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	0.194	44.054	13.506	15	95	8.834	9.689	8.834	9.691	8.529	43	21851
				Slide2_020818_72	1	1	1	cytoplasm	EdU	19	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	0.194	55.786	16.042	22	125	8.834	9.689	8.832	9.695	10.8	54	27670
9	M	M	1	Slide2_020818_73	1	1	1	cell	DAPI	20	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	7.88	107.988	84.393	8	255	9.815	14.454	9.512	14.166	850.946	69	2180175
				Slide2_020818_74	1	1	1	cell	EdU	21	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	7.88	59.83	20.713	11	173	9.815	14.296	9.768	14.223	471.463	58	1207916
				Slide2_020818_75	1	1	1	nuclei	DAPI	22	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	1.932	221.92	43.445	35	255	9.147	13.954	9.168	13.939	428.758	241	1098503
				Slide2_020818_76	1	1	1	nuclei	EdU	23	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	1.932	67.203	20.21	13	161	9.147	13.954	9.19	13.888	129.84	66	332657
				Slide2_020818_77	1	1	1	cytoplasm	DAPI	24	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	0.122	33.371	12.891	9	90	9.387	15.709	9.39	15.705	4.077	32	10445
				Slide2_020818_78	1	1	1	cytoplasm	EdU	25	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	0.122	45.115	13.796	14	103	9.387	15.709	9.386	15.701	5.512	43	14121
10	G1	M		Slide2_020818_79	1	1	1	cell	DAPI	2	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	9.771	70.066	63.248	8	255	10.395	6.589	10.577	6.851	684.594	48	1753972
				Slide2_020818_80	1	1	1	cell	EdU	3	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	9.771	52.151	17.339	11	153	10.395	6.589	10.445	6.618	509.551	50	1305500
				Slide2_020818_81	1	1	1	nuclei	DAPI	4	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	1.158	216.586	43.304	63	255	10.824	7.198	10.82	7.181	250.734	232	642395
				Slide2_020818_82	1	1	1	nuclei	EdU	5	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	1.158	65.373	17.622	21	153	10.824	7.198	10.823	7.183	75.68	64	193896
				Slide2_020818_83	1	1	1	cytoplasm	DAPI	6	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	0.138	40.323	13.929	12	89	10.785	8.251	10.782	8.247	5.556	40	14234
				Slide2_020818_84	1	1	1	cytoplasm	EdU	7	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	0.138	51.816	14.744	22	110	10.785	8.251	10.785	8.249	7.139	50	18291
11	G1	M	1	Slide2_020818_85	1	1	1	cell	DAPI	8	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	6.592	78.11	73.268	8	255	13.893	6.694	13.816	6.984	514.895	47	1319192
				Slide2_020818_86	1	1	1	cell	EdU	9	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	6.592	50.978	18.37	9	143	13.873	6.576	13.844	6.618	336.042	49	860960
				Slide2_020818_87	1	1	1	nuclei	DAPI	10	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	0.864	233.412	34.689	77	255	13.893	7.371	13.902	7.356	201.703	255	516775
				Slide2_020818_88	1	1	1	nuclei	EdU	11	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	0.864	60.261	18.559	14	140	13.893	7.371	13.892	7.343	52.074	58	133418
